,prop_type,list_date,last_update,prop_status,year_built,address.city,address.county,address.postal_code,address.lat,address.lon,community.price_min,community.baths_min,community.beds_min,community.sqft_min
0,condo,2021-02-15T14:43:00.000Z,2021-02-15T14:55:14.73Z,for_rent,,Hawthorne,Los Angeles,90250,33.915979,-118.374959,4400,3.5,3,2000.0
1,single_family,2021-02-15T16:43:00.000Z,2021-02-15T16:55:13.13Z,for_rent,,Long Beach,Los Angeles,90802,33.766265,-118.171427,3000,2.0,3,1200.0
2,condo,2021-02-15T16:43:00.000Z,2021-02-15T16:55:13.13Z,for_rent,,Los Angeles,Los Angeles,90035,34.060528,-118.380012,3495,2.0,2,1700.0
3,single_family,2021-01-18T16:43:00.000Z,2021-02-15T14:55:14.73Z,for_rent,,Santa Monica,Los Angeles,90405,34.010947,-118.465836,2100,1.0,1,450.0
4,single_family,2021-02-15T14:43:00.000Z,2021-02-15T14:55:14.73Z,for_rent,,Beverly Hills,Los Angeles,90210,34.070292,-118.408719,36000,5.5,5,6749.0
5,condo,2021-02-08T22:43:00.000Z,2021-02-15T02:55:15.37Z,for_rent,,Torrance,Los Angeles,90502,33.812395,-118.288633,1880,1.0,1,639.0
6,single_family,2021-02-15T14:43:00.000Z,2021-02-15T14:55:14.73Z,for_rent,,Los Angeles,Los Angeles,90018,34.018537,-118.304914,2500,2.0,2,984.0
7,condo,2021-02-15T14:43:00.000Z,2021-02-15T14:55:14.73Z,for_rent,,Los Angeles,Los Angeles,90024,34.06117,-118.436149,5200,2.0,2,1500.0
8,condo,2021-02-15T14:43:00.000Z,2021-02-15T16:55:13.13Z,for_rent,,Redondo Beach,Los Angeles,90277,33.831316,-118.376614,3100,2.0,2,975.0
9,condo,2021-01-26T16:43:00.000Z,2021-01-26T22:55:12.963Z,for_rent,,San Diego,San Diego,92131,32.918817,-117.112529,2200,2.0,2,950.0
10,condo,2021-02-13T14:43:00.000Z,2021-02-13T16:55:13.253Z,for_rent,,Los Angeles,Los Angeles,90026,34.074134,-118.257211,2995,1.5,2,1000.0
